Publishing Year,language_code,Book_average_rating,Book_ratings_count,genre,gross sales,publisher revenue,sale price,sales rank,units sold,publisher_code,author_rating
1950.0,0.0,4.12,143236,0,1880.55,0.0,1.99,111,945,0,2
2010.0,0.0,3.64,120126,0,4690.6,2814.36,4.99,112,940,5,2
1880.0,0.0,3.97,144497,0,3730.65,2238.39,3.99,113,935,6,2
2002.0,5.0,3.72,131352,0,1850.7,0.0,1.99,114,930,0,2
1956.0,0.0,4.02,158701,0,5980.0,3588.0,6.5,116,920,0,2
2007.0,0.0,4.23,128715,0,905.85,543.51,0.99,117,915,7,2
2008.0,0.0,3.9,180961,0,7759.2,4655.52,8.48,117,915,0,2
2012.0,0.0,4.29,153882,0,900.9,0.0,0.99,118,910,0,2
2007.0,0.0,3.84,150003,0,895.95,537.57,0.99,119,905,0,2
1390.0,0.0,3.48,148480,0,891.0,0.0,0.99,120,900,0,3
2006.0,0.0,3.71,124371,1,5841.0,3504.6,6.49,120,900,5,2
2011.0,0.0,4.08,146905,1,10731.05,6438.63,11.99,121,895,7,2
2009.0,0.0,3.89,125195,0,2661.1,0.0,2.99,122,890,0,2
1852.0,0.0,3.83,137858,0,1771.1,1062.66,1.99,122,890,3,2
1909.0,0.0,3.97,141110,0,3531.15,0.0,3.99,123,885,0,2
2006.0,0.0,4.02,163054,0,6525.0,3915.0,7.5,126,870,8,2
1995.0,0.0,4.08,98738,0,3451.35,0.0,3.99,127,865,0,2
2010.0,0.0,3.73,119213,0,6871.4,4122.84,7.99,128,860,7,2
2011.0,0.0,3.52,100886,0,841.5,504.9,0.99,130,850,0,2
2006.0,0.0,3.82,150222,0,10131.55,6078.93,11.99,131,845,1,2
2008.0,0.0,3.71,114531,0,6711.6,4026.96,7.99,132,840,7,2
2001.0,0.0,3.78,117657,0,816.75,0.0,0.99,135,825,0,2
1995.0,0.0,3.81,128961,1,1641.75,985.05,1.99,135,825,3,2
1980.0,0.0,3.55,129811,1,5696.85,3418.11,6.99,137,815,7,2
1972.0,0.0,4.22,146073,0,2421.9,0.0,2.99,138,810,0,2
1999.0,0.0,4.12,110651,0,8573.25,5143.95,10.65,139,805,6,2
1980.0,0.0,4.07,137372,0,3192.0,0.0,3.99,140,800,0,2
1958.0,0.0,3.89,129778,0,792.0,475.2,0.99,140,800,0,2
2010.0,0.0,4.04,126993,0,3172.05,0.0,3.99,141,795,0,2
2005.0,0.0,4.0,137639,1,1572.1,943.26,1.99,142,790,0,2
2009.0,0.0,4.08,151721,0,9412.15,5647.29,11.99,143,785,6,2
2014.0,0.0,3.78,108703,0,3112.2,0.0,3.99,144,780,0,2
1982.0,0.0,4.2,119930,0,8269.25,4961.55,10.67,145,775,8,2
1979.0,0.0,3.9,132723,0,1512.4,907.44,1.99,148,760,3,2
1920.0,0.0,3.98,135514,0,3012.45,0.0,3.99,149,755,0,2
1934.0,0.0,4.16,138444,0,3742.5,0.0,4.99,150,750,0,2
2013.0,0.0,4.26,113252,0,2992.5,0.0,3.99,150,750,0,2
2001.0,0.0,4.16,121398,0,3717.55,2230.53,4.99,151,745,7,2
1980.0,0.0,3.85,142213,0,2952.6,1771.56,3.99,152,740,5,2
2013.0,0.0,4.19,141641,0,727.65,0.0,0.99,153,735,0,2
2009.0,0.0,4.27,109642,0,3642.7,0.0,4.99,154,730,0,2
2014.0,0.0,3.98,115393,0,5444.75,3266.85,7.51,155,725,7,2
1939.0,0.0,4.22,156726,0,712.8,0.0,0.99,156,720,0,2
1937.0,0.0,4.17,87445,0,702.9,0.0,0.99,158,710,0,2
1932.0,0.0,4.16,165127,0,697.95,418.77,0.99,159,705,0,2
2004.0,0.0,3.8,133683,0,5593.0,3355.8,7.99,160,700,1,2
2001.0,0.0,4.02,116800,0,1353.2,811.92,1.99,164,680,3,2
2013.0,0.0,4.54,159774,1,668.25,400.95,0.99,165,675,0,1
2008.0,0.0,3.85,144606,0,3678.3,2206.98,5.49,166,670,0,2
2003.0,0.0,3.98,118045,0,658.35,395.01,0.99,167,665,0,2
2005.0,0.0,4.06,130293,0,7814.4,4688.64,11.84,168,660,7,2
2003.0,0.0,3.98,112167,0,648.45,0.0,0.99,169,655,0,2
2012.0,0.0,3.67,116053,0,9818.45,5891.07,14.99,169,655,7,2
2006.0,0.0,3.69,110873,0,3243.5,0.0,4.99,170,650,0,2
1999.0,0.0,4.31,131481,0,1943.5,0.0,2.99,170,650,0,2
2008.0,0.0,4.04,121966,0,3218.55,0.0,4.99,171,645,0,2
